mapblklot,analysis_neighborhood,FZP Planning Code
5335A105,Bayview Hunters Point,RH-1
6799010,Outer Mission,RH-1
7064040,Outer Mission,RH-1
5853004,Portola,RH-1
6990004,Oceanview/Merced/Ingleside,RH-1
5664022,Bernal Heights,RH-1
3635001,Mission,NCT-VALENCIA
4711173,Bayview Hunters Point,RH-2
7130019,Oceanview/Merced/Ingleside,RH-1
5258063,Bayview Hunters Point,RH-1
6423013,Excelsior,RH-2
6595015,Noe Valley,RH-2
6597007C,Bernal Heights,RH-2
6957013,Outer Mission,RH-1
6124035,Portola,RH-1
6274015A,Excelsior,RH-1
5341010,Bayview Hunters Point,RH-2
7174021,Outer Mission,RH-1
5082006,Bayview Hunters Point,RH-1
7053002,Oceanview/Merced/Ingleside,RH-1
0256020,Nob Hill,RM-3
6301029,Visitacion Valley,RH-1
3703341,South of Market,C-3-G
6515041,Mission,NCT-VALENCIA
5877006,Portola,RH-1
7017019,Oceanview/Merced/Ingleside,RH-1
6519018,Mission,RH-3
7003045,Oceanview/Merced/Ingleside,RH-1
0663034,Pacific Heights,RH-2
7010017,Oceanview/Merced/Ingleside,RH-1
5812008,Bernal Heights,RH-1
6534020,Mission,RH-3
3614045,Mission,RH-3
6173017,Visitacion Valley,RM-1
6258011,Visitacion Valley,RH-1
4008003B,Potrero Hill,RH-2
6532025,Mission,RH-3
0776040,Western Addition,RH-3
3638003,Mission,RH-3
7115016,Oceanview/Merced/Ingleside,RH-1
6533056,Mission,RH-3
0148018,Chinatown,RM-2
5961050A,Excelsior,RH-1
3779054,South of Market,SALI
6355002B,Excelsior,RH-1
3207009,Outer Mission,NCD-EXCELSIOR
7041005,Outer Mission,RH-1
6795D003,Outer Mission,RH-1
6996018,Oceanview/Merced/Ingleside,RH-1
5879047,Portola,RH-1
3594044,Mission,RM-1
6479033,Excelsior,RH-1
5701003,Bernal Heights,RH-1
5532007,Bernal Heights,RH-1
5721033,Bernal Heights,RH-2
6956036,Outer Mission,NCD-EXCELSIOR
5615051,Bernal Heights,NCD-MISSION BERNAL
0225024,Chinatown,CRNC
6468017B,Excelsior,RH-1
6093030,Excelsior,RH-1
5746005A,Bernal Heights,RH-2
0662036,Pacific Heights,RH-2
3546047,Mission,RTO-M
3525031,South of Market,RED
0104048,North Beach,RH-3
7130026,Oceanview/Merced/Ingleside,RH-1
6989017,Oceanview/Merced/Ingleside,RH-1
6489005,Excelsior,RH-1
7089036,Oceanview/Merced/Ingleside,RH-1
6597073,Bernal Heights,RH-2
0223026,Nob Hill,RM-3
5501055,Bernal Heights,RH-2
0300015,Nob Hill,RC-4
5328052,Bayview Hunters Point,RH-2
0776018,Western Addition,RH-3
5377016,Bayview Hunters Point,RH-1
6129036,Portola,RH-1
5524046,Bernal Heights,RH-2
6804004,Outer Mission,NCD-EXCELSIOR
0143030,North Beach,RH-3
5935013,Excelsior,RH-1
4941028,Bayview Hunters Point,RH-1
4097036,Potrero Hill,RH-2
3779140,South of Market,SALI
7062029,Oceanview/Merced/Ingleside,RH-1
6954037,Outer Mission,RH-1
5306034,Bayview Hunters Point,RH-2
7141008,Outer Mission,RH-1
4210024,Mission,RH-2
3532044,Mission,RM-1
5925015,Portola,RH-2
5652032,Bernal Heights,RH-1
6634017,Noe Valley,RH-3
6087025,Excelsior,RH-1
6349018A,Excelsior,RH-1
5730021,Bernal Heights,RH-1
6691017,Bernal Heights,RH-2
5647027,Bernal Heights,RH-1
6090012,Excelsior,RH-1
7107056,Oceanview/Merced/Ingleside,RH-2
5626037,Bernal Heights,RH-1
5627028,Bernal Heights,RH-1
7005012,Oceanview/Merced/Ingleside,RH-1
4152056,Mission,RH-2
5995021,Portola,RH-1
6299012,Visitacion Valley,RH-1
0808007,Hayes Valley,NCT-HAYES
6251011,Visitacion Valley,RH-1
0279020,Nob Hill,RC-4
4937021,Bayview Hunters Point,RH-1
5805012,Bernal Heights,RH-2
5328030,Bayview Hunters Point,RH-2
3647036,Mission,RH-3
3750008,Financial District/South Beach,CMUO
7010010,Oceanview/Merced/Ingleside,RH-1
7047052,Oceanview/Merced/Ingleside,RH-1
6092014,Excelsior,RH-2
6466018,Excelsior,RH-1
0212027,Nob Hill,RM-3
6019015C,Excelsior,RH-1
4040019,Potrero Hill,RH-2
7109026,Outer Mission,RH-1
0293010,Financial District/South Beach,C-3-O
5697036,Bernal Heights,RH-1
6473016B,Excelsior,RH-1
6120019A,Portola,RH-1
6247019,Visitacion Valley,NCD-LELAND
7053032,Oceanview/Merced/Ingleside,RH-1
3736035,Financial District/South Beach,C-3-O(SD)
6238009,Visitacion Valley,RH-1
7056018,Oceanview/Merced/Ingleside,RH-1
4158006,Potrero Hill,RH-2
6094012D,Excelsior,RH-1
7331CMQ,Lakeshore,RM-1
3595047,Mission,RTO-M
6511027,Mission,RH-3
4336006A,Mission,RH-2
6362033,Visitacion Valley,RH-1
5610A028,Bernal Heights,RH-2
0268015,Financial District/South Beach,C-3-O
6085031,Excelsior,RH-2
6436021,Excelsior,RH-1(D)
6443028,Excelsior,RH-1
6484023,Excelsior,RH-1(D)
3598049B,Mission,RH-3
3575169,Mission,RTO-M
3729041,South of Market,RED-MX
4971010,Bayview Hunters Point,RH-1
3974029,Mission,UMU
5524069,Bernal Heights,NC-1
6309101,Visitacion Valley,RH-1
3211006G,Outer Mission,RH-1
4909004,Bayview Hunters Point,RH-1
3703005,South of Market,NCT-SOMA
5084001B,Bayview Hunters Point,RH-1
0160017,Chinatown,CCB
3568036A,Mission,RTO-M
5815009,Bernal Heights,RH-1
6402033,Excelsior,RH-1
4210007,Mission,RH-2
6079006,Excelsior,RH-1
4279020,Mission,RH-2
5323014A,Bayview Hunters Point,NCD-BAYVIEW
3753003,South of Market,MUR
6198012,Visitacion Valley,RH-1
3212035,Outer Mission,RH-1
7110A002,Outer Mission,RH-1
6969009,Outer Mission,RH-1
5958036,Excelsior,RH-1
7096A052,Outer Mission,RH-1
6351008A,Excelsior,RH-1
0115008A,North Beach,RH-3
5948003B,Excelsior,RH-1
0054070,North Beach,RH-3
6415020,Excelsior,RH-1
7057009C,Oceanview/Merced/Ingleside,RH-1
7054016,Oceanview/Merced/Ingleside,RH-1
0132056,North Beach,RM-1
6349001,Excelsior,RH-1
5361014,Bayview Hunters Point,RH-1
6348006,Excelsior,RH-1
3642037,Mission,RTO-M
6786012,Outer Mission,RH-1
6042047,Portola,RH-1
6394008,Excelsior,RH-1
5353009C,Bayview Hunters Point,RH-1
6422025,Excelsior,RH-1(D)
5691023,Bernal Heights,RH-1
4094120,Potrero Hill,RH-3
6567032,Mission,RH-2
4939010,Bayview Hunters Point,RH-1
7095023,Oceanview/Merced/Ingleside,RH-2
5642070,Bernal Heights,RH-2
6300020,Visitacion Valley,RH-1
7030060,Outer Mission,NCD-EXCELSIOR
6522037,Mission,RH-2
5977019,Portola,RH-1
3211005,Outer Mission,RH-1
3642075,Mission,RTO-M
3555022,Mission,NCT-VALENCIA
7138046,Oceanview/Merced/Ingleside,RH-1
0750019,Western Addition,RM-3
6795C030,Outer Mission,RH-1
6414030,Excelsior,RH-1
5474028,Bayview Hunters Point,RH-1
7137047,Oceanview/Merced/Ingleside,RH-1
6799014,Outer Mission,RH-1
5870021,Excelsior,RH-1
5705006,Bernal Heights,RH-1
7042B022,Outer Mission,RH-1
0179036,Chinatown,CRNC
0652075,Pacific Heights,RH-2
4024011,Mission,RH-2
7086021,Oceanview/Merced/Ingleside,RH-2
5688008,Bernal Heights,RH-1
3517015,South of Market,WMUO
6484019A,Excelsior,RH-1(D)
7077027,Oceanview/Merced/Ingleside,RH-1
4208020A,Mission,NCT-24TH-MISSION
5329027,Bayview Hunters Point,RH-1
6086012F,Excelsior,RH-1
5884036,Portola,RH-1
6528074,Mission,RTO-M
6477018,Excelsior,RH-1
7381083,Lakeshore,RH-1
7104026,Oceanview/Merced/Ingleside,RH-1
4103036,Potrero Hill,RH-2
3722012,Financial District/South Beach,C-3-O(SD)
4624451,Bayview Hunters Point,RM-1
5949004,Excelsior,RH-1
6485034,Excelsior,RH-1
5802031,Bernal Heights,RH-3
5329003,Bayview Hunters Point,RH-1
6634018,Noe Valley,RH-3
6005004A,Excelsior,RH-1
4002027,Potrero Hill,RH-2
6338007,Excelsior,RH-1
3554046,Mission,RTO-M
7030043,Outer Mission,NCD-EXCELSIOR
3588004,Mission,NCT-VALENCIA
7139010,Oceanview/Merced/Ingleside,NC-1
6518018,Mission,RTO-M
7076006,Oceanview/Merced/Ingleside,RH-1
5081022,Bayview Hunters Point,RH-1
0271021,Financial District/South Beach,RM-4
6997021,Oceanview/Merced/Ingleside,RH-1
5890016,Excelsior,RH-1
5652010,Bernal Heights,RH-1
6280016,Excelsior,RH-1
4338010,Mission,RH-2
6467014,Excelsior,RH-1
4064019,Potrero Hill,RH-2
4103006,Potrero Hill,RH-2
3721025,Financial District/South Beach,C-3-O(SD)
5619062,Bernal Heights,RH-1
7075055,Oceanview/Merced/Ingleside,RH-1
6321011,Visitacion Valley,RH-1
5992A042,Portola,RH-1
4096009,Potrero Hill,RH-2
5959037,Excelsior,RH-1
5335A150,Bayview Hunters Point,RH-1
5353A003A,Bayview Hunters Point,RH-1
6323008B,Visitacion Valley,RH-1
7045B011,Outer Mission,RH-1
4159056,Potrero Hill,RH-2
3570047A,Mission,UMU
6054024,Portola,RH-1
4720071,Bayview Hunters Point,RH-2
7053048,Oceanview/Merced/Ingleside,RH-1
0195017,Chinatown,C-2
6192074,Visitacion Valley,RH-1
5067A002A,Visitacion Valley,RH-1
5805002,Bernal Heights,RH-2
4066023,Potrero Hill,RH-2
7145054,Outer Mission,RH-1
4275012,Mission,RH-2
3614066,Mission,RH-3
6422027,Excelsior,RH-1(D)
4711161,Bayview Hunters Point,RH-2
7116012,Oceanview/Merced/Ingleside,RH-1
3643072,Mission,RTO-M
4272035,Mission,RH-2
6018044,Excelsior,RH-1
7017006,Oceanview/Merced/Ingleside,RH-1
5976017,Portola,RH-1
6072010,Excelsior,RH-1
4967024,Bayview Hunters Point,RH-1
5259004A,Bayview Hunters Point,RH-1
3554050,Mission,RTO-M
7011012,Oceanview/Merced/Ingleside,RH-1
5736025,Bernal Heights,RH-1
6044001,Portola,RH-1
7004009,Oceanview/Merced/Ingleside,RH-1
6166037,Visitacion Valley,RH-1
6409001A,Excelsior,RH-1
4232021,Potrero Hill,PPS-MU
6189026,Visitacion Valley,RH-1
4264048,Mission,NCT-24TH-MISSION
0285006,Financial District/South Beach,C-3-R
5992A010,Portola,RH-1
6243030,Visitacion Valley,RH-1
5069021,Bayview Hunters Point,RH-1
5978013,Portola,RH-1
0212036,Nob Hill,RM-3
4965037,Bayview Hunters Point,RH-1
3574100,Mission,RH-3
0157029,Nob Hill,RH-3
5638006,Bernal Heights,RH-2
6476022,Excelsior,RH-1
5417020,Bayview Hunters Point,RH-1
3577004,Mission,NCT-VALENCIA
6474015E,Excelsior,RH-1
0652023A,Pacific Heights,RH-2
3610027,Mission,NCT-MISSION
6534063,Mission,RH-3
6594060,Noe Valley,RH-2
5690046,Bernal Heights,RH-1
5319027,Bayview Hunters Point,RH-2
0660051,Pacific Heights,RH-2
6051007,Portola,RH-2
7161052,Outer Mission,RH-1
7145053,Outer Mission,RH-1
3509078,South of Market,RED-MX
5947035,Excelsior,RH-1
6309D013,Visitacion Valley,RH-1
5015014,Bayview Hunters Point,RH-1
4940028,Bayview Hunters Point,RH-1
0625004,Pacific Heights,RM-3
0192008,Chinatown,CRNC
7004039,Oceanview/Merced/Ingleside,RH-1
4172004,Potrero Hill,NCT-2
6172018,Portola,RH-1
5331026,Bayview Hunters Point,RH-1
5803009,Bernal Heights,RH-1(D)
6795A003,Outer Mission,RH-1
5067002D,Visitacion Valley,RH-1
6396041,Excelsior,RH-1
7029013,Outer Mission,RH-1
6720063,Bernal Heights,RH-2
4991633,Bayview Hunters Point,C-2
6436006,Excelsior,RH-1(D)
5619064,Bernal Heights,RH-1
5741022,Bernal Heights,RH-1
5325016B,Bayview Hunters Point,RH-1
4944038,Bayview Hunters Point,RH-1
4758001,Bayview Hunters Point,RH-1
5531012,Bernal Heights,RH-2
3640047,Mission,RH-2
7059018,Oceanview/Merced/Ingleside,RH-1
4085056,Mission,RM-1
3595037,Mission,RTO-M
7125001,Oceanview/Merced/Ingleside,RH-1
6200052,Visitacion Valley,RH-1
5539007,Bernal Heights,RH-1
0664007,Pacific Heights,RH-3
6349016,Excelsior,RH-1
3706074,Financial District/South Beach,C-3-R
3754015,South of Market,MUG
3727018,South of Market,WMUG
5649028,Bernal Heights,RH-1
5981005,Portola,NCD-SAN BRUNO AVENUE
5862010,Portola,RH-1
5550018,Bernal Heights,RH-2
5413002C,Bayview Hunters Point,RH-1
4088018,Mission,RH-2
6314001,Visitacion Valley,RM-1
0740026,Tenderloin,RC-4
0838092,Hayes Valley,NCT-HAYES
6198044,Visitacion Valley,RH-1
5912010,Excelsior,RH-1
3608078,Mission,RH-3
5804028,Bernal Heights,RH-1(D)
4096068,Potrero Hill,RM-1
3598046,Mission,RH-3
0101005,Chinatown,NCD-NORTH BEACH
7089005,Oceanview/Merced/Ingleside,RH-1
5740012,Bernal Heights,RH-1
6234031,Visitacion Valley,RH-1
3777035,South of Market,MUG
5471025,Bayview Hunters Point,RH-1
3567074,Mission,RM-1
4711024,Bayview Hunters Point,RH-2
6325027,Visitacion Valley,RH-1
4085003,Mission,RH-2
0733030,Western Addition,NC-S
7070038,Oceanview/Merced/Ingleside,RH-1
6411005,Excelsior,RH-1
6354015,Excelsior,RH-1
3729031,South of Market,RED-MX
5690033,Bernal Heights,RH-1
3203029,Outer Mission,RH-1
6785017,Outer Mission,RH-1
5705020,Bernal Heights,RH-1
7049034,Oceanview/Merced/Ingleside,RH-1
0272008,Nob Hill,RC-4
4993041,Bayview Hunters Point,RH-1
6528034,Mission,RTO-M
6073009F,Excelsior,RH-1
3975004,Mission,RH-2
0090001,North Beach,NCD-NORTH BEACH
5664032,Bernal Heights,RH-1
3775033,Financial District/South Beach,SPD
6018041,Excelsior,RH-1
7106022,Oceanview/Merced/Ingleside,RH-1
5657036,Bernal Heights,RH-1
5699007,Bernal Heights,RH-1
0318017,Tenderloin,RC-4
5986007,Portola,RH-1
4760001,Bayview Hunters Point,RH-1
5360024B,Bayview Hunters Point,RH-1
4808022,Bayview Hunters Point,RH-1
7381021,Lakeshore,RH-1
6209012,Visitacion Valley,RH-1
7174017,Outer Mission,RH-1
6147023,Portola,RH-1
5662014,Bernal Heights,RH-1
6442005,Excelsior,RH-1(D)
6092010B,Excelsior,RH-2
6304012,Visitacion Valley,RH-1
5960003,Excelsior,RH-1
5520002,Bernal Heights,RH-1
5330036,Bayview Hunters Point,RH-1
7119043,Oceanview/Merced/Ingleside,RH-2
3567015,Mission,RM-1
4159049,Potrero Hill,RH-2
6352014,Excelsior,RH-1
7163015,Outer Mission,RH-1
4081073,Mission,RH-2
5983005,Portola,RH-1
6192077,Visitacion Valley,RH-1
6095011,Excelsior,RH-1
7161010,Outer Mission,RH-1
5311039,Bayview Hunters Point,NCD-BAYVIEW
4094011,Potrero Hill,RH-3
5384A007,Bayview Hunters Point,RH-1
6172001B,Portola,RM-1
3779133,South of Market,SALI
4939016A,Bayview Hunters Point,RH-1
4591BCOMC,Bayview Hunters Point,RM-1
6257012A,Visitacion Valley,RH-1
5072036,Bayview Hunters Point,RH-1
6087001A,Excelsior,RH-1
6199010B,Visitacion Valley,RH-1
3209006,Outer Mission,RH-1
5259006A,Bayview Hunters Point,RH-1
3637018A,Mission,RTO-M
5881017,Portola,RH-1
7170002,Outer Mission,RH-1
7159013,Outer Mission,RH-1
4761037,Bayview Hunters Point,RH-2
5618044,Bernal Heights,RH-1
0228032,Chinatown,C-3-O
5343025,Bayview Hunters Point,RH-2
3614007,Mission,RH-3
5428D020,Bayview Hunters Point,RH-1
6994001,Oceanview/Merced/Ingleside,RH-1(D)
5092002,Bayview Hunters Point,RH-1
6042016,Portola,RH-1
6046001,Portola,RH-1
7173022,Outer Mission,RH-1
0104069,North Beach,RH-3
3704025,South of Market,NCT-SOMA
6321017,Visitacion Valley,RH-1
5838023,Bernal Heights,RH-1(D)
7008022,Oceanview/Merced/Ingleside,RH-1
6174024,Visitacion Valley,RH-1
4072017,Potrero Hill,RH-2
5634024,Bernal Heights,RH-2
6045001A,Portola,RH-1
5653026,Bernal Heights,RH-1
4760011,Bayview Hunters Point,RH-2
6323011,Visitacion Valley,RH-1
5871022,Excelsior,RH-1
3646041,Mission,RH-3
6246017,Visitacion Valley,RH-2
5697016,Bernal Heights,RH-1
5054A044,Bayview Hunters Point,NC-S
5296024A,Bayview Hunters Point,RH-1
6331006,Visitacion Valley,RH-1
4591B099,Bayview Hunters Point,RM-1
4096107,Potrero Hill,RH-2
5362001B,Bayview Hunters Point,RH-1
3775059,Financial District/South Beach,SPD
7135042,Oceanview/Merced/Ingleside,RH-1
3589008,Mission,NCT-MISSION
6340034,Excelsior,RH-1
3638038,Mission,RH-3
0088021,North Beach,NCD-NORTH BEACH
4159073,Potrero Hill,RH-2
6969003D,Outer Mission,NCD-EXCELSIOR
4264065,Mission,NCT-24TH-MISSION
5523002,Bernal Heights,NC-1
6411012,Excelsior,RH-1
6478025,Excelsior,RH-1
6092019,Excelsior,RH-1
5079005,Bayview Hunters Point,RH-1
0749023,Western Addition,NCT-FILLMORE
7145046,Outer Mission,RH-1
3726114,South of Market,MUG
6322008J,Visitacion Valley,NC-1
7071036,Oceanview/Merced/Ingleside,RH-1
5296018,Bayview Hunters Point,NCD-BAYVIEW
4064018,Potrero Hill,RH-2
6156015A,Portola,RH-1
7058003,Oceanview/Merced/Ingleside,RH-1
5550005,Bernal Heights,RH-2
6016032,Excelsior,RH-1
5295015B,Bayview Hunters Point,RH-1
4991230,Bayview Hunters Point,RH-2
5325015A,Bayview Hunters Point,RH-1
5386023A,Bayview Hunters Point,RH-1
0740013,Tenderloin,RC-4
3149050,Outer Mission,RH-1
5698007,Bernal Heights,RH-1
7060022,Oceanview/Merced/Ingleside,RH-1
4207031,Mission,RH-2
7164022,Outer Mission,RH-1
4093125,Potrero Hill,RH-2
5379006,Bayview Hunters Point,RH-1
6246011,Visitacion Valley,RH-2
5395015,Bayview Hunters Point,RH-1
0329003,Financial District/South Beach,C-3-R
3610045,Mission,RTO-M
0662047,Pacific Heights,RH-2
5660018,Bernal Heights,NCD-CORTLAND AVENUE
4206039,Mission,NCT-24TH-MISSION
6406007,Excelsior,RH-1
5322070,Bayview Hunters Point,RH-2
6257001A,Visitacion Valley,RH-1
7053041,Oceanview/Merced/Ingleside,RH-1
0700020,Japantown,NCD-JAPANTOWN
6007004,Excelsior,RH-1
6491028,Excelsior,RH-1
4788013,Bayview Hunters Point,RH-1
6465009,Excelsior,RH-1
5900008,Portola,RH-1
6302028,Visitacion Valley,RH-1
4791011,Bayview Hunters Point,RH-1
5291031,Bayview Hunters Point,RH-1
0151112,Nob Hill,RH-3
3552020,Mission,UMU
7044B005,Outer Mission,RH-1
5461005,Bayview Hunters Point,NC-3
7072002,Oceanview/Merced/Ingleside,RH-1
3594024,Mission,RH-3
3788009,Financial District/South Beach,CMUO
5995002A,Portola,RH-1
5653020,Bernal Heights,RH-1
4283B007,Potrero Hill,RH-1
0258018,Financial District/South Beach,CCB
3573037,Mission,UMU
3575104,Mission,UMU
6992045,Oceanview/Merced/Ingleside,RH-1
5726004,Bernal Heights,RH-1
4647A008,Bayview Hunters Point,RH-1
5382034,Bayview Hunters Point,RH-1
7054046,Oceanview/Merced/Ingleside,RH-1
7114010,Oceanview/Merced/Ingleside,RH-1
5476019,Bayview Hunters Point,RM-1
7145034,Outer Mission,RH-1
6967005,Outer Mission,RH-1
5435024,Bayview Hunters Point,RH-1
6475014,Excelsior,RH-1
4084044,Mission,UMU
4275021,Mission,RH-2
5426023,Bayview Hunters Point,RH-1
6992012,Oceanview/Merced/Ingleside,RH-1
0649001,Pacific Heights,RM-3
5947032,Excelsior,RH-1
6022031,Excelsior,RH-1
6021039,Excelsior,RH-1
5698025,Bernal Heights,RH-1
3150002,Outer Mission,RH-1
7081A038,Oceanview/Merced/Ingleside,RH-2
6306015,Visitacion Valley,RH-1
4272031,Mission,RH-2
6485003,Excelsior,RH-1
6015019,Excelsior,RH-2
6468006,Excelsior,RH-1
4075003,Potrero Hill,RH-2
6482013,Excelsior,RH-1
6953032,Outer Mission,RH-1
0165017,Financial District/South Beach,C-2
3212001,Outer Mission,RH-1
6348003,Excelsior,RH-1
0149001,Nob Hill,RM-2
5737015,Bernal Heights,RH-1
5928019,Portola,RH-1
3590084,Mission,RTO-M
6635025,Bernal Heights,RH-3
5648016,Bernal Heights,RH-1
4171015,Potrero Hill,NCT-2
4088025,Mission,RH-2
5383013,Bayview Hunters Point,RH-1
6303003A,Visitacion Valley,RH-1
5255010,Bayview Hunters Point,RH-1
5471008,Bayview Hunters Point,RH-1
6338019,Excelsior,RH-1
5959032,Excelsior,RH-1
6321010,Visitacion Valley,RH-1
5717042,Bernal Heights,RH-2
6297034,Visitacion Valley,RH-1
3732101,South of Market,MUR
7030062,Outer Mission,NCD-EXCELSIOR
5960027,Excelsior,RH-1
4095049,Potrero Hill,RH-3
7031005B,Outer Mission,RH-1
7129008,Oceanview/Merced/Ingleside,RH-1
0227025,Chinatown,CCB
6339015,Excelsior,RH-1
5411006,Bayview Hunters Point,NCD-BAYVIEW
6009044,Excelsior,RH-1
6795A014,Outer Mission,RH-1
6321001A,Visitacion Valley,RH-1
5715010,Bernal Heights,RH-2
4711091,Bayview Hunters Point,RH-2
5343013,Bayview Hunters Point,RH-2
5323017A,Bayview Hunters Point,RH-1
5706019,Bernal Heights,RH-1
0039012,North Beach,RH-3
5958007,Excelsior,RH-1
6283015,Excelsior,RH-1
6091016,Excelsior,RH-1
6594017,Noe Valley,RH-2
3779068,South of Market,SALI
7045B020,Outer Mission,RH-1
7060021,Oceanview/Merced/Ingleside,RH-1
6166009,Visitacion Valley,RH-1
6577029B,Noe Valley,RH-2
6007027D,Excelsior,RH-1
5674012,Bernal Heights,RH-2
5381043,Bayview Hunters Point,RH-1
6157014,Portola,RH-1
5522042,Bernal Heights,RH-2
5870017,Excelsior,RH-1
0254007,Nob Hill,RM-3
7063037,Oceanview/Merced/Ingleside,RH-2
5669033,Bernal Heights,RH-1
5740003,Bernal Heights,RH-1
0225013,Chinatown,CRNC
4789017,Bayview Hunters Point,RH-2
5362002B,Bayview Hunters Point,RH-1
5353008D,Bayview Hunters Point,RH-1
0678023,Pacific Heights,NCT-FILLMORE
5526004,Bernal Heights,RH-2
5675013,Bernal Heights,RH-2
5091022,Bayview Hunters Point,RH-1
6004024,Excelsior,RH-1
6161042,Portola,RH-1
7094014,Oceanview/Merced/Ingleside,RH-1
6249017,Visitacion Valley,NC-3
0090039,Chinatown,RM-2
7147025,Oceanview/Merced/Ingleside,RH-1
4093153,Potrero Hill,RH-2
3729028,South of Market,RED-MX
5054A070,Bayview Hunters Point,NC-S
6235042,Visitacion Valley,RH-1
3153017,Outer Mission,RH-1
5912024,Excelsior,RH-1
4106010,Potrero Hill,RH-3
5963038,Excelsior,RH-1
3511094,Mission,RED
7148011A,Oceanview/Merced/Ingleside,RH-1
7156070,Outer Mission,RH-1
6093011A,Excelsior,RH-1
4993044,Bayview Hunters Point,RH-1
3722019,Financial District/South Beach,C-3-O(SD)
0115047,North Beach,RH-3
5353A005C,Bayview Hunters Point,RH-1
4104066,Potrero Hill,RH-2
5529054,Bernal Heights,RH-2
4715008,Bayview Hunters Point,RH-2
6078040,Excelsior,RH-1
4028015,Potrero Hill,RH-2
6568029,Mission,NCT-VALENCIA
4270019A,Mission,RH-2
5672030,Bernal Heights,RH-2
6015001,Excelsior,RH-1
4108003E,Potrero Hill,UMU
3726036,South of Market,RED
4099039,Potrero Hill,RH-2
5701010,Bernal Heights,RH-1
7016021,Oceanview/Merced/Ingleside,RH-1
6021034,Excelsior,RH-1
5347037,Bayview Hunters Point,RH-1
5345001,Bayview Hunters Point,RH-1
4220039,Potrero Hill,RH-2
4787012,Bayview Hunters Point,RH-1
6339032,Excelsior,RH-1
3957002,Mission Bay,UMU
6463049,Excelsior,RH-1
6323013,Visitacion Valley,RH-1
5841002,Bernal Heights,RH-1(D)
5877039,Portola,RH-1
5705022,Bernal Heights,RH-1
5876020,Portola,RH-1
7103047,Oceanview/Merced/Ingleside,RH-1
5668030,Bernal Heights,RH-1
5378034,Bayview Hunters Point,RH-1
6283006A,Excelsior,RH-1
3704021,South of Market,C-3-G
5864007,Portola,RH-1(D)
6351010A,Excelsior,RH-1
6354007,Excelsior,RH-1
6273002E,Excelsior,RH-1
6022020,Excelsior,RH-1
5465019,Bayview Hunters Point,RH-1
0287026,Financial District/South Beach,C-3-R
3762054,South of Market,CMUO
3638080,Mission,RH-3
3646036,Mission,RH-3
3613033,Mission,RH-3
4162104,Potrero Hill,RH-2
3753028,South of Market,MUR
3590051,Mission,RTO-M
5520042,Bernal Heights,RH-1
6435008,Excelsior,RH-1(D)
6322025,Visitacion Valley,RH-1
5331053,Bayview Hunters Point,RH-1
6801030,Outer Mission,RH-1
5919005B,Portola,RH-1
7149019,Oceanview/Merced/Ingleside,RH-1
6522051,Mission,RH-2
3589028,Mission,RTO-M
6513034,Mission,RH-3
5382022,Bayview Hunters Point,RH-1
6276031,Excelsior,RH-1
1567044,Outer Richmond,RH-2
0159006,Chinatown,CRNC
4143037A,Mission,RM-1
5913007,Excelsior,RH-1
3985009,Potrero Hill,RH-2
4757008,Bayview Hunters Point,RH-1
0036001,North Beach,C-2
5859002,Portola,RH-1
5966009A,Excelsior,RH-1
5947046,Excelsior,RH-1
5382009,Bayview Hunters Point,RH-1
7049014,Oceanview/Merced/Ingleside,RH-1
6473011,Excelsior,RH-1
3613043,Mission,RH-3
6233057,Visitacion Valley,RH-1
6312007,Visitacion Valley,RM-1
4002024,Potrero Hill,RH-2
4074041,Potrero Hill,RH-2
6510048,Noe Valley,RH-3
7117015,Oceanview/Merced/Ingleside,RH-1
6318029,Visitacion Valley,RH-1
6090005C,Excelsior,RH-1
4283B024,Potrero Hill,RH-1
4789020A,Bayview Hunters Point,RH-2
3644015B,Mission,RH-3
6250009D,Visitacion Valley,RH-1
4337001G,Mission,RH-2
5083009,Bayview Hunters Point,RH-1
7046A014,Outer Mission,RH-1
6569009B,Mission,NCT-VALENCIA
4970004,Bayview Hunters Point,RH-1
4068008,Potrero Hill,RH-2
6349010,Excelsior,RH-1
4991725,Bayview Hunters Point,C-2
5403004,Bayview Hunters Point,RH-1
4160033,Potrero Hill,RH-2
5668012,Bernal Heights,RH-1
5397029,Bayview Hunters Point,RH-1
