mapblklot,from_address_num,street_name,street_type,analysis_neighborhood,zoning_code,zoning_district,supervisor_district,supname,Height_Ft,distance_to_transit
7549009,162,FARNUM,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1979.1913987803264
0060026,220,LOMBARD,ST,North Beach,C-2,COMMUNITY BUSINESS,3,Danny Sauter,84,692.1561205647001
5618036,141,WINFIELD,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,1665.5378953936768
2614098,16,FLINT,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,709.6620300881654
2364052,2351,35TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,461.34824298619253
1934037,1628,10TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,1562.6119537385478
5740006,624,GATES,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3184.0589823039472
0304006,630,GEARY,ST,Tenderloin,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",3,Danny Sauter,130,375.1699003499247
5965043,332,GAMBIER,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4384.869531954335
2151046,2030,32ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2480.062829269322
6396037,1648,GENEVA,AVE,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,6175.789871848691
2891012,42,IDORA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1445.5615363121744
3732272,,,,South of Market,MUR,MIXED USE-RESIDENTIAL,6,Matt Dorsey,85,1102.903665881315
0151097,1179,VALLEJO,ST,Nob Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,40,2052.677841466451
1043031,79,MANZANITA,AVE,Presidio Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,1512.325449048097
1718013,1265,32ND,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,1006.6647680432914
3589120,2208,MISSION,ST,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,65,1257.9198449394505
2607263,473,BUENA VISTA,AVE,Castro/Upper Market,RH-3|RH-2,"RESIDENTIAL- HOUSE, THREE FAMILY|RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2181.623316447527
4172062,2580,03RD,ST,Potrero Hill,NCT-2,NEIGHBORHOOD COMMERCIAL TRANSIT-2,10,Shamann Walton,45,583.133680941298
0708021,1502,FILLMORE,ST,Western Addition,NCT,FILLMORE STREET NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,5,Bilal Mahmood,130,178.94800912610444
5426015,2054,CARROLL,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2615.750720018744
2965A004A,20,ARROYO,WAY,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,4278.606619973879
6170008B,228,WARD,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1429.6507444405254
0511052,42,SERVICE,ST,Marina,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",2,Stephen Sherrill,85,4068.8128060615627
2314036,2519,RIVERA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1288.7651624154553
5662002,204,ELLSWORTH,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,2719.4257628258624
0762026,601,VAN NESS,AVE,Western Addition,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",2,Stephen Sherrill,130,564.7970386688647
2328009F,1020,SANTIAGO,ST,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,787.8519526073228
4080015,720,YORK,ST,Mission,UMU,URBAN MIXED USE,9,Jackie Fielder,58,3580.202344801318
7138007,112,SAGAMORE,ST,Oceanview/Merced/Ingleside,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",11,Chyanne Chen,40,543.124839349334
2650045,2750,MARKET,ST,Castro/Upper Market,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",8,Rafael Mandelman,40,1162.2147839666547
6554005,4120,26TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1387.9649029060242
1903012,1647,40TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1685.0724738082722
3005C005,620,LOS PALMOS,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3541.2329231317244
6927011,15,BORICA,ST,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1842.7761380158731
5557010,,,,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4425.038617887758
3737042,488,FOLSOM,ST,Financial District/South Beach,C-3-O(SD)|TB DTR,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)|TRANSBAY DOWNTOWN RESIDENTIAL,6,Matt Dorsey,550,1641.9808672152258
2304001E,2223,45TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1183.594590126928
7537036,530,DAY,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,2114.2600657958915
3562038,301,CASTRO,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,50,478.3490560373709
2155005,2019,35TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2573.829797793795
7148071,113,HABITAT,TER,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,834.2424894643669
1767040A,1310,FUNSTON,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,85,549.1231481974021
3763080,48,PERRY,ST,Financial District/South Beach,CMUO,CENTRAL SOMA-MIXED USE OFFICE,6,Matt Dorsey,350,1542.9010078256717
4940004A,1330,GILMAN,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,451.84845833019455
0279030,1299,BUSH,ST,Nob Hill,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,80,1019.2407648156034
1715014,1267,35TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,958.1261803249298
4969007,3236,INGALLS,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1106.2505891597457
1265A001,683,FREDERICK,ST,Inner Sunset,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,193.03641041388576
3547054,,,,Mission,UMU|NCT,URBAN MIXED USE|MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,65,735.7461365802902
0792T001A,327,FULTON,ST,Hayes Valley,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,5,Bilal Mahmood,65,769.2801489743954
6274026,527,PARIS,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2788.885275359371
0808046,430,HAYES,ST,Hayes Valley,NCT,HAYES NCT,5,Bilal Mahmood,40,1388.1797368629918
1783006,1343,28TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,389.85587744853314
1338015,58,21ST,AVE,Seacliff,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,2238.2004399662537
1327005,2971,LAKE,ST,Seacliff,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",1,Connie Chan,40,2110.068409389069
3970008,1800,BRYANT,ST,Mission,UMU,URBAN MIXED USE,9,Jackie Fielder,68,2585.271801456561
6665018,146,LAIDLEY,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1337.2271806676379
1561038A,500,19TH,AVE,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,834.208815706736
2059018,1883,22ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3269.2663727208264
2081001A,1817,44TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,65,2872.3201917167444
3566013A,41,ABBEY,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,50,587.9893579521215
3730236,239,08TH,ST,South of Market,WMUG,WSOMA MIXED USE-GENERAL,6,Matt Dorsey,55,1512.566861222959
3113016,90,HAZELWOOD,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2492.673859318557
3765023,401,HARRISON,ST,Financial District/South Beach,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,6,Matt Dorsey,550,1319.1932043859426
2630003,1109,STANYAN,ST,Inner Sunset,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,424.46553176934975
0515056,2263,GREENWICH,ST,Marina,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,3695.947011495415
1559043,2531,ANZA,ST,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1161.8510741372968
6054027,519,HAMILTON,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3819.0380454984256
1548035,562,06TH,AVE,Inner Richmond,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",1,Connie Chan,40,1115.161497419546
0794036,527,BIRCH,ST,Hayes Valley,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,5,Bilal Mahmood,40,1679.5968627389075
1506008,543,38TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,375.80322855805775
2417001C,2515,16TH,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,713.7835351669936
6546021,470,CLIPPER,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2390.636335975237
1157004,825,BRODERICK,ST,Western Addition,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",5,Bilal Mahmood,50,1934.3648223074554
1029039,2999,CALIFORNIA,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,50,1887.402353670874
3640102,,,,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,1397.5190480281494
5336003,114,BRIDGEVIEW,DR,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1424.2807760452038
6478011,260,ALLISON,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3032.907832607499
4273034,2726,BRYANT,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,40,2712.9090832876745
1511009,547,33RD,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,311.97655398087943
0696025,1388,GOUGH,ST,Western Addition,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",2,Stephen Sherrill,500,830.4772564786537
1374032,130,15TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1841.1712154329211
0624003B,1930,SACRAMENTO,ST,Pacific Heights,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",2,Stephen Sherrill,105,640.4187909945765
0494025,66,MAGNOLIA,ST,Marina,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,2209.892777747279
0252026,1255,CALIFORNIA,ST,Nob Hill,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY",3,Danny Sauter,65,1619.2492361797347
1706063,1234,45TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,1148.3968314723445
0763009,600,VAN NESS,AVE,Tenderloin,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",5,Bilal Mahmood,300,456.58974724146503
2391020,3314,ULLOA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,889.2924104290853
3729047,740,CLEMENTINA,ST,South of Market,RED-MX,RESIDENTIAL ENCLAVE-MIXED,6,Matt Dorsey,45,1641.5420370159056
0048011,2454,HYDE,ST,Russian Hill,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",3,Danny Sauter,40,1440.6103166821554
6516046,365,BARTLETT,ST,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,9,Jackie Fielder,45,407.90535288732735
5947002,10,ATHENS,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3187.44731606916
0091060,801,GREENWICH,ST,Russian Hill,NCD,NORTH BEACH NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,40,2108.297383251876
1566034,622,24TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,943.3453821466832
5462015,56,CARR,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,469.0518379373311
3180498,,,,West of Twin Peaks,BR-MU|RH-1(D),"BALBOA RESERVOIR - MIXED USE|RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,78,1345.9948954311517
0931036,,,,Marina,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",2,Stephen Sherrill,40,5819.361412372944
1595086,732,GREAT,HWY,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1654.1946740527167
1187003B,655,MASONIC,AVE,Lone Mountain/USF,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",5,Bilal Mahmood,40,2619.011128853181
3778046E,745,BRYANT,ST,South of Market,MUG,MIXED USE-GENERAL,6,Matt Dorsey,55,1383.3046070651756
0333018,463,ELLIS,ST,Tenderloin,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",5,Bilal Mahmood,80,716.2717513141426
0569002,2349,FRANKLIN,ST,Pacific Heights,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",2,Stephen Sherrill,50,572.3607053984999
6983019,418,GRAFTON,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1450.8057315572244
2429005,2523,28TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1000.1942221868222
2192012,2174,26TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1523.7926916977185
1410051,354,24TH,AVE,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1030.420440874807
3779094,23,BOARDMAN,PL,South of Market,SALI,SERVICE/ARTS/LIGHT INDUSTRIAL,6,Matt Dorsey,55,2218.7577997434696
1000017,3024,CLAY,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,2626.8225025159395
2829021,863,ELIZABETH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3605.0642306004584
5863020,45,PRINCETON,ST,Portola,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",9,Jackie Fielder,40,4340.8947636657385
2625023,4210,17TH,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1307.1297288485423
2087014,1967,47TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2971.124710918256
3153036,12,RALEIGH,ST,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,644.224334767935
2417012,2596,17TH,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1037.3142086482958
1716027,1282,35TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,840.6146247204117
2033A031,1750,17TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2437.0613867883344
5428D044,132,ORSI,CIR,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,65,1397.339346000063
6464042,55,CURTIS,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3076.6499832105833
3774192,1,FEDERAL,ST,Financial District/South Beach,SB-DTR,SOUTH BEACH DOWNTOWN RESIDENTIAL,6,Matt Dorsey,105,869.3248240108333
4028002,2240,19TH,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,3751.6675059553986
5959038,500,PERU,AVE,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3157.579220482307
7064007,576,HURON,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1170.5357136848902
0482005,3219,OCTAVIA,ST,Marina,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,1490.3174623911011
6279003,622,ATHENS,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4197.399341516589
2716049,,,,Twin Peaks,RH-1(S),"RESIDENTIAL- HOUSE, ONE FAMILY- SECONDARY UNIT",8,Rafael Mandelman,40,2588.435279425521
6416A003,620,PRAGUE,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,5051.507017207216
2982037,1063,PORTOLA,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2166.1594262493436
3533136,270,VALENCIA,ST,Mission,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,9,Jackie Fielder,40,1014.3854607381147
5956003,110,EDINBURGH,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2500.259221481261
2876010,113,KNOCKASH,HL,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2039.7365219914857
1902003E,3518,MORAGA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2019.3572294895778
1126021,2085,ELLIS,ST,Western Addition,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",5,Bilal Mahmood,50,810.5077936613214
3554030,1661,15TH,ST,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,9,Jackie Fielder,55,665.8371228318993
5987017,624,BACON,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4139.973634642406
2745002,630,CORBETT,AVE,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3242.6466911781645
2645026,181,SATURN,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1976.5164025516308
4262008,1364,VERMONT,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,3781.9001443236007
1279065,504,BELVEDERE,ST,Haight Ashbury,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1077.715397625753
5746005B,87,CRESCENT,AVE,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,1503.9622726101702
5987022,367,HAMILTON,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4231.648723435983
6796017,40,SANTA ROSA,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1797.361024880304
7531147,75,ORA,WAY,Glen Park,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",8,Rafael Mandelman,40,2977.3565825195465
1713020,1293,37TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,787.5942498037415
3157011,222,JUDSON,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1684.3280096848507
1103020,22,TERRA VISTA,AVE,Lone Mountain/USF,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",2,Stephen Sherrill,40,840.2352503662639
0595162,1643,PACIFIC,AVE,Russian Hill,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,350,255.99124114224756
6601001,1550,CHURCH,ST,Noe Valley,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",8,Rafael Mandelman,65,211.17045029081396
6062017,542,YALE,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,5418.35202682942
3736191,35,TEHAMA,ST,Financial District/South Beach,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),6,Matt Dorsey,360,1586.2529573809077
6951031,243,ONONDAGA,AVE,Outer Mission,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",11,Chyanne Chen,40,714.3965307023407
2886027,535,DEWEY,BLVD,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1483.527573380912
0553032,1820,VALLEJO,ST,Marina,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",2,Stephen Sherrill,50,1167.367354950349
2647049,65,COLLINGWOOD,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,50,467.9719948437027
6515026,374,BARTLETT,ST,Mission,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,9,Jackie Fielder,45,565.3508947127041
2068004,1823,31ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2894.0664538825017
2877002,550,LAGUNA HONDA,BLVD,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,771.1268736076182
0713035,1200,GOUGH,ST,Western Addition,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY",2,Stephen Sherrill,500,781.8693194494177
3553063,1587,15TH,ST,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,80,527.0621360238941
0025028,846,NORTH POINT,ST,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,1206.7390452379132
1655038,738,FUNSTON,AVE,Inner Richmond,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,2337.15821328913
7216010,400,EUCALYPTUS,DR,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,912.3470057898815
0689033,1483,SUTTER,ST,Western Addition,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",2,Stephen Sherrill,130,765.4080830160104
1662026,778,20TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2586.2917236810345
2083005,1839,46TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2995.5189363014233
5656005,120,BRADFORD,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4135.286876946101
0490013,3252,PIERCE,ST,Marina,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",2,Stephen Sherrill,65,4194.5570714971045
1287041,143,RIVOLI,ST,Haight Ashbury,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1298.7455462832127
0814023,,,,Tenderloin,C-3-G,DOWNTOWN- GENERAL,6,Matt Dorsey,200,616.1441675582483
1533035,420,12TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,494.95033278422085
1005064,1938,BAKER,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,2457.4186424243003
0546014,2415,VAN NESS,AVE,Marina,RC-3,"RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY",2,Stephen Sherrill,140,244.09269970014645
5381051,63,SCOTIA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2750.4124618402448
3764198,575,HARRISON,ST,Financial District/South Beach,MUO,MIXED USE-OFFICE,6,Matt Dorsey,65,1800.034649887067
0100037,837,FILBERT,ST,Russian Hill,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",3,Danny Sauter,40,2493.5289632193526
2120A013,1080,PACHECO,ST,Inner Sunset,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3063.5898474531086
5843019,400,ALEMANY,BLVD,Bernal Heights,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",9,Jackie Fielder,40,3619.6156491745896
3745012,338,SPEAR,ST,Financial District/South Beach,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",6,Matt Dorsey,400,546.5311080526866
1570004,645,27TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1269.4015991086617
3794031,188,KING,ST,Mission Bay,MUO,MIXED USE-OFFICE,6,Matt Dorsey,105,678.3564206415634
0868113,7,GERMANIA,ST,Hayes Valley,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,5,Bilal Mahmood,40,520.8621636863841
